record_id,reader_id,reader_expertise,test_session_id,round_number,question_number,test_level,test_mode,has_ai_assistance,image_id,isic_id,true_diagnosis,diagnosis_full_name,diagnosis_type,is_malignant,reader_diagnosis,is_correct,is_correct_numeric,response_time_seconds,clinical_decision,requires_intervention,is_completed,pairing_id
1,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,1,47,without_ai,False,241251,ISIC_5728052,NV,Melanocytic Nevi,benign,False,NV,True,1.0,25.36,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241251_1
2,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,2,47,with_ai,True,241251,ISIC_5728052,NV,Melanocytic Nevi,benign,False,NV,True,1.0,4.01,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241251_1
3,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,3,47,without_ai,False,244972,ISIC_1828351,MEL,Melanoma,malignant,True,NV,False,0.0,21.47,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244972_1
4,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,4,47,with_ai,True,244972,ISIC_1828351,MEL,Melanoma,malignant,True,VASC,False,0.0,3.52,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244972_1
5,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,5,47,without_ai,False,242800,ISIC_8381176,BKL,Benign Keratosis,benign,False,VASC,False,0.0,5.33,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242800_1
6,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,6,47,with_ai,True,242800,ISIC_8381176,BKL,Benign Keratosis,benign,False,DF,False,0.0,2.88,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242800_1
7,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,7,47,without_ai,False,241012,ISIC_1063001,BCC,Basal Cell Carcinoma,malignant,True,DF,False,0.0,2.47,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241012_1
8,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,8,47,with_ai,True,241012,ISIC_1063001,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,2.59,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241012_1
9,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,9,47,without_ai,False,244095,ISIC_8291456,BKL,Benign Keratosis,benign,False,VASC,False,0.0,2.29,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244095_1
10,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,10,47,with_ai,True,244095,ISIC_8291456,BKL,Benign Keratosis,benign,False,AKIEC,False,0.0,2.92,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244095_1
